,paper_id,date,has_ai_policy,location,ai_tool,journal_name,usage_purpose,journal_location,journal_category,journal_usage,journal_usage_categories,usage_purpose_categories_filtered
1,https://openalex.org/W4404702677,2024-11-25,False,Acknowledgements,Claude,Psychological Medicine,English language editing assistance,Not Specified,Not Mentioned,,[],Language & Grammar Support
2,https://openalex.org/W4404494880,2024-11-18,False,Acknowledgements,Claude,The Historical Journal,revision process,,,,[],Writing & Editing Support
4,https://openalex.org/W4408155423,2025-03-04,True,Contributor Section,GPT-4,BMC Medical Education,assistance,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Error Analysis & Others
8,https://openalex.org/W4405157238,2024-12-09,True,Acknowledgements,ChatGPT,Public health reviews,phrasing of the manuscript,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Style & Formatting
11,https://openalex.org/W4390744700,2024-01-11,True,Acknowledgements,Chat GPT 3.5,Frontiers in Medicine,improving readability and fitting the length of the article,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
13,https://openalex.org/W4408688870,2025-03-21,True,AI Declaration Section,Unspecified,Frontiers in Cell and Developmental Biology,creation of this manuscript,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Content Creation & Generation
14,https://openalex.org/W4404347568,2024-11-14,False,Experimental Section,ChatGPT,Scientific Reports,poem generation,Not Specified,Not Mentioned,,[],Content Creation & Generation
15,https://openalex.org/W4403911480,2024-10-30,True,AI Declaration Section,Unspecified,Frontiers in Marine Science,English editing and checking the grammar,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Language & Grammar Support
18,https://openalex.org/W4386290884,2023-08-30,True,Contributor Section,GPT-4,Frontiers in Medicine,content generation,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Content Creation & Generation
21,https://openalex.org/W4408765618,2025-03-22,True,Acknowledgements,ChatGPT,Virtual Reality,"revising sentences, improving grammar and enriching the vocabulary",Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
