paper_id,date,has_ai_policy,location,ai_tool,journal_name,usage_purpose,journal_name_std,journal_location,journal_category,journal_usage,usage_purpose_categories_filtered
https://openalex.org/W4404702677,2024-11-25,False,Acknowledgements,Claude,Psychological Medicine,English language editing assistance,psychological med,Not Specified,Not Mentioned,,Language & Grammar Support
https://openalex.org/W4404494880,2024-11-18,False,Acknowledgements,Claude,The Historical Journal,revision process,the historical journal,,,,Writing & Editing Support
https://openalex.org/W4408155423,2025-03-04,True,Contributor Section,GPT-4,BMC Medical Education,assistance,bmc med education,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Error Analysis & Others
https://openalex.org/W4405157238,2024-12-09,True,Acknowledgements,ChatGPT,Public health reviews,phrasing of the manuscript,public health reviews,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Style & Formatting
https://openalex.org/W4390744700,2024-01-11,True,Acknowledgements,Chat GPT 3.5,Frontiers in Medicine,improving readability and fitting the length of the article,frontiers in med,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4408688870,2025-03-21,True,AI Declaration Section,Unspecified,Frontiers in Cell and Developmental Biology,creation of this manuscript,frontiers in cell and developmental biology,Methods,Disclosure Required,General writing assistance,Content Creation & Generation
https://openalex.org/W4404347568,2024-11-14,False,Experimental Section,ChatGPT,Scientific Reports,poem generation,scientific reports,Not Specified,Not Mentioned,,Content Creation & Generation
https://openalex.org/W4403911480,2024-10-30,True,AI Declaration Section,Unspecified,Frontiers in Marine Science,English editing and checking the grammar,frontiers in marine sci,Methods,Disclosure Required,General writing assistance,Language & Grammar Support
https://openalex.org/W4386290884,2023-08-30,True,Contributor Section,GPT-4,Frontiers in Medicine,content generation,frontiers in med,Methods,Disclosure Required,General writing assistance,Content Creation & Generation
https://openalex.org/W4408765618,2025-03-22,True,Acknowledgements,ChatGPT,Virtual Reality,"revising sentences, improving grammar and enriching the vocabulary",virtual reality,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4394808305,2024-04-15,True,Acknowledgements,ChatGPT,Genome biology,proofreading,genome biology,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Writing & Editing Support
https://openalex.org/W4408461396,2025-03-14,True,AI Declaration Section,ChatGPT,Frontiers in Immunology,editorial purposes in improving the clarity and language of the manuscript,frontiers in immunology,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4391760064,2024-01-01,False,Acknowledgements,ChatGPT,Green Chemistry,TOC generation,green chemistry,Not Specified,Not Mentioned,,Content Creation & Generation
https://openalex.org/W4392615577,2024-03-09,False,Experimental Section,ChatGPT-4,Nature Communications,improve the readability and conciseness of the manuscript,nature comm,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4391104416,2024-01-22,False,Acknowledgements,ChatGPT-3.5,Journal of Rehabilitation Medicine,correction and improvement of scientific medical writing,j rehabilitation med,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4387380513,2023-10-05,True,Disclosure Section,ChatGPT,Journal of Cheminformatics,creating a convincing looking scientific abstract or article,j cheminformatics,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Content Creation & Generation
https://openalex.org/W4408158969,2025-03-05,True,Acknowledgements,Unspecified,Frontiers in Medicine,language editing and rephrasing,frontiers in med,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4406850390,2025-01-27,True,Acknowledgements,Grammarly,Frontiers in Human Dynamics,text editing,frontiers in human dynamics,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4404336935,2024-11-13,False,Acknowledgements,ChatGPT,Nature,co-authorship,nature,Not Specified,Not Mentioned,,Content Creation & Generation
https://openalex.org/W4399193359,2024-05-30,True,Acknowledgements,ChatGPT,Public health reviews,language editing,public health reviews,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Writing & Editing Support
https://openalex.org/W4394580402,2024-04-08,True,Acknowledgements,Grammarly,Infectious Diseases and Therapy,text editing,infectious diseases and therapy,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4408764529,2025-03-23,False,Methods,ChatGPT,Nature Communications,formatting,nature comm,Not Specified,Not Mentioned,,Style & Formatting
https://openalex.org/W4404148891,2024-11-01,False,Acknowledgements,ChatGPT,International Journal of Sustainability in Higher Education,proofreading and editing the manuscript,int j sustainability in higher education,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4399652136,2024-06-13,False,Methods,GPT-4,Scientific Data,Generating artificial persona,scientific data,Not Specified,Not Mentioned,,Error Analysis & Others
